IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.40.87.247,443,443,TRUE,LHR,Europe,London,247,3.68
13.53.126.251,8443,443,TRUE,ARN,Europe,Stockholm,273,3.67
13.53.123.5,443,443,TRUE,ARN,Europe,Stockholm,273,3.64
13.60.82.126,8080,443,TRUE,ARN,Europe,Stockholm,273,3.6
13.51.161.19,443,443,TRUE,ARN,Europe,Stockholm,273,3.59
18.198.4.243,8443,443,TRUE,FRA,Europe,Frankfurt,313,3.59
13.51.206.75,8080,443,TRUE,ARN,Europe,Stockholm,273,3.55
13.60.71.80,443,443,TRUE,ARN,Europe,Stockholm,334,3.52
13.60.4.148,8443,443,TRUE,ARN,Europe,Stockholm,273,3.51
13.60.79.248,443,443,TRUE,ARN,Europe,Stockholm,332,3.51
13.51.165.175,8443,443,TRUE,ARN,Europe,Stockholm,273,3.5
13.51.132.60,443,443,TRUE,OSL,Europe,Oslo,310,3.17
52.52.116.32,443,443,TRUE,SJC,North America,San Jose,182,3.13
13.114.123.213,80,443,TRUE,KIX,Asia Pacific,Osaka,69,2.62
13.60.31.50,8080,443,TRUE,ARN,Europe,Stockholm,333,2.13
18.196.171.93,2053,443,TRUE,FRA,Europe,Frankfurt,254,2.04
3.120.137.26,2096,80,FALSE,FRA,Europe,Frankfurt,255,1.98
54.183.80.85,2053,443,TRUE,SJC,North America,San Jose,179,1.98
3.120.137.26,2087,80,FALSE,FRA,Europe,Frankfurt,319,1.96
3.120.76.162,2087,80,FALSE,FRA,Europe,Frankfurt,257,1.95
3.120.76.162,2053,80,FALSE,FRA,Europe,Frankfurt,258,1.95
3.120.137.26,2083,80,FALSE,FRA,Europe,Frankfurt,256,1.95
3.120.76.162,2086,80,FALSE,FRA,Europe,Frankfurt,310,1.94
3.120.137.26,2053,80,FALSE,FRA,Europe,Frankfurt,254,1.94
15.160.19.149,2087,80,FALSE,MXP,Europe,Milan,267,1.93
15.160.19.149,2052,80,FALSE,MXP,Europe,Milan,265,1.93
