IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.89.238.145,443,443,TRUE,FRA,Europe,Frankfurt,265,5.8
34.89.248.119,443,443,TRUE,FRA,Europe,Frankfurt,274,5.8
34.89.238.145,443,443,TRUE,FRA,Europe,Frankfurt,263,5.8
34.91.55.37,443,443,TRUE,FRA,Europe,Frankfurt,273,5.8
34.89.158.132,443,443,TRUE,FRA,Europe,Frankfurt,263,5.79
34.90.210.245,443,443,TRUE,FRA,Europe,Frankfurt,257,5.79
34.91.133.41,443,443,TRUE,FRA,Europe,Frankfurt,273,5.78
34.65.84.1,443,443,TRUE,FRA,Europe,Frankfurt,251,5.78
34.90.190.66,443,443,TRUE,FRA,Europe,Frankfurt,261,5.78
34.89.148.147,443,443,TRUE,FRA,Europe,Frankfurt,262,5.78
34.91.55.37,443,443,TRUE,FRA,Europe,Frankfurt,255,5.78
34.34.9.157,443,443,TRUE,FRA,Europe,Frankfurt,260,5.77
34.90.19.236,443,443,TRUE,FRA,Europe,Frankfurt,259,5.77
34.91.218.58,443,443,TRUE,FRA,Europe,Frankfurt,263,5.77
34.32.184.199,443,443,TRUE,FRA,Europe,Frankfurt,268,5.77
34.159.23.226,443,443,TRUE,FRA,Europe,Frankfurt,279,5.77
34.154.229.199,443,443,TRUE,FRA,Europe,Frankfurt,249,5.76
34.90.255.182,443,443,TRUE,FRA,Europe,Frankfurt,327,5.76
34.159.248.174,443,443,TRUE,FRA,Europe,Frankfurt,320,5.76
34.154.192.70,443,443,TRUE,FRA,Europe,Frankfurt,272,5.76
34.90.145.46,443,443,TRUE,FRA,Europe,Frankfurt,270,5.76
34.91.218.58,443,443,TRUE,FRA,Europe,Frankfurt,263,5.76
34.159.163.244,443,443,TRUE,FRA,Europe,Frankfurt,495,5.76
34.154.174.36,443,443,TRUE,FRA,Europe,Frankfurt,255,5.75
35.198.83.199,443,443,TRUE,FRA,Europe,Frankfurt,263,5.75
34.65.25.84,443,443,TRUE,FRA,Europe,Frankfurt,254,5.75
34.154.251.71,443,443,TRUE,FRA,Europe,Frankfurt,256,5.75
34.91.220.83,443,443,TRUE,FRA,Europe,Frankfurt,256,5.74
34.90.190.66,443,443,TRUE,FRA,Europe,Frankfurt,269,5.74
34.65.129.192,443,443,TRUE,FRA,Europe,Frankfurt,265,5.73
34.65.37.14,443,443,TRUE,FRA,Europe,Frankfurt,263,5.73
34.91.12.47,443,443,TRUE,FRA,Europe,Frankfurt,258,5.73
34.89.180.110,443,443,TRUE,FRA,Europe,Frankfurt,272,5.72
34.154.116.83,443,443,TRUE,FRA,Europe,Frankfurt,251,5.72
34.89.158.132,443,443,TRUE,FRA,Europe,Frankfurt,261,5.71
34.154.23.240,443,443,TRUE,FRA,Europe,Frankfurt,252,5.71
34.91.1.34,443,443,TRUE,FRA,Europe,Frankfurt,264,5.71
34.91.183.32,443,443,TRUE,FRA,Europe,Frankfurt,286,5.7
34.154.203.191,443,443,TRUE,FRA,Europe,Frankfurt,257,5.7
34.89.180.110,443,443,TRUE,FRA,Europe,Frankfurt,264,5.69
34.89.148.147,443,443,TRUE,FRA,Europe,Frankfurt,262,5.69
34.91.166.163,443,443,TRUE,FRA,Europe,Frankfurt,262,5.69
34.154.106.62,443,443,TRUE,FRA,Europe,Frankfurt,251,5.69
34.90.173.34,443,443,TRUE,FRA,Europe,Frankfurt,258,5.68
34.32.240.117,443,443,TRUE,FRA,Europe,Frankfurt,271,5.68
34.154.240.204,443,443,TRUE,FRA,Europe,Frankfurt,251,5.68
34.91.230.226,443,443,TRUE,FRA,Europe,Frankfurt,257,5.68
34.34.32.175,443,443,TRUE,FRA,Europe,Frankfurt,257,5.67
34.89.148.147,443,443,TRUE,FRA,Europe,Frankfurt,262,5.67
34.65.97.237,443,443,TRUE,FRA,Europe,Frankfurt,260,5.66
34.118.30.13,443,443,TRUE,FRA,Europe,Frankfurt,270,5.66
34.154.245.223,443,443,TRUE,FRA,Europe,Frankfurt,256,5.66
35.198.114.188,443,443,TRUE,FRA,Europe,Frankfurt,255,5.65
34.32.146.80,443,443,TRUE,FRA,Europe,Frankfurt,263,5.65
34.32.151.133,443,443,TRUE,FRA,Europe,Frankfurt,257,5.64
34.118.67.161,443,443,TRUE,FRA,Europe,Frankfurt,268,5.64
34.89.158.132,443,443,TRUE,FRA,Europe,Frankfurt,263,5.64
34.32.151.133,443,443,TRUE,FRA,Europe,Frankfurt,266,5.63
34.65.70.183,443,443,TRUE,FRA,Europe,Frankfurt,252,5.63
35.204.99.250,443,443,TRUE,FRA,Europe,Frankfurt,267,5.62
35.204.102.31,443,443,TRUE,FRA,Europe,Frankfurt,261,5.61
34.91.12.47,443,443,TRUE,FRA,Europe,Frankfurt,282,5.61
34.90.118.98,443,443,TRUE,FRA,Europe,Frankfurt,275,5.61
34.154.172.60,443,443,TRUE,FRA,Europe,Frankfurt,251,5.6
34.89.175.145,443,443,TRUE,FRA,Europe,Frankfurt,302,5.6
34.65.229.117,443,443,TRUE,FRA,Europe,Frankfurt,255,5.6
34.154.185.105,443,443,TRUE,FRA,Europe,Frankfurt,261,5.6
34.154.177.217,443,443,TRUE,FRA,Europe,Frankfurt,257,5.59
34.65.229.117,443,443,TRUE,FRA,Europe,Frankfurt,256,5.59
34.91.166.163,443,443,TRUE,FRA,Europe,Frankfurt,259,5.58
34.91.136.68,443,443,TRUE,FRA,Europe,Frankfurt,258,5.58
34.154.3.87,443,443,TRUE,FRA,Europe,Frankfurt,251,5.58
34.32.165.33,443,443,TRUE,FRA,Europe,Frankfurt,263,5.57
34.65.240.216,443,443,TRUE,FRA,Europe,Frankfurt,253,5.55
34.89.175.145,443,443,TRUE,FRA,Europe,Frankfurt,273,5.55
34.90.173.34,443,443,TRUE,FRA,Europe,Frankfurt,259,5.55
34.118.17.165,443,443,TRUE,FRA,Europe,Frankfurt,270,5.54
34.116.251.49,443,443,TRUE,FRA,Europe,Frankfurt,286,5.53
34.89.239.137,443,443,TRUE,FRA,Europe,Frankfurt,255,5.53
34.65.25.84,443,443,TRUE,FRA,Europe,Frankfurt,268,5.52
34.118.41.105,443,443,TRUE,FRA,Europe,Frankfurt,276,5.51
34.90.255.182,443,443,TRUE,FRA,Europe,Frankfurt,267,5.51
34.32.232.165,443,443,TRUE,FRA,Europe,Frankfurt,258,5.51
34.154.20.202,443,443,TRUE,FRA,Europe,Frankfurt,261,5.5
34.91.195.105,443,443,TRUE,FRA,Europe,Frankfurt,258,5.5
34.116.249.117,443,443,TRUE,FRA,Europe,Frankfurt,269,5.5
34.89.248.119,443,443,TRUE,FRA,Europe,Frankfurt,263,5.49
34.65.152.169,443,443,TRUE,FRA,Europe,Frankfurt,269,5.48
34.154.101.243,443,443,TRUE,FRA,Europe,Frankfurt,254,5.48
34.118.32.141,443,443,TRUE,FRA,Europe,Frankfurt,268,5.48
34.90.4.9,443,443,TRUE,FRA,Europe,Frankfurt,258,5.48
34.90.210.245,443,443,TRUE,FRA,Europe,Frankfurt,257,5.48
34.116.236.192,443,443,TRUE,FRA,Europe,Frankfurt,331,5.47
34.91.81.192,443,443,TRUE,FRA,Europe,Frankfurt,273,5.47
34.91.156.200,443,443,TRUE,FRA,Europe,Frankfurt,259,5.47
34.91.119.232,443,443,TRUE,FRA,Europe,Frankfurt,267,5.47
34.118.51.1,443,443,TRUE,FRA,Europe,Frankfurt,283,5.46
34.116.249.117,443,443,TRUE,FRA,Europe,Frankfurt,306,5.46
34.159.152.9,443,443,TRUE,FRA,Europe,Frankfurt,691,5.46
34.118.90.144,443,443,TRUE,FRA,Europe,Frankfurt,271,5.46
